노래제목,가수,가사
Missing You,플라이 투 더 스카이,이젠 그대가 아니라고 해도 아니면 날 까맣게 잊었어도 넌 단지 내게 지난 사랑이라도 Tonight is Just One Night 너를 잃기 전처럼 널 다시 갖고 싶은 내 마음은 왜 그렇게 미련스러운건지 네가 없는 나 인정할 수가 없는 Tonight is Just One Night 너를 잃기 전처럼 한번만 내 맘을 들어줘 Every day Every night I am Missing you 내 곁엔 없어도 이젠 볼수는 없어도 언제나 내 맘엔 똑같은 너인걸 널 다시 갖고 싶은 내 마음은 왜 그렇게 미련스러운건지 네가 없는 날 실감할수가 없는 Tonight is Just One Night 너를 잃기 전처럼 한번만 내 맘을 들어줘 Every day Every night I am Missing you 내 곁엔 없어도 다신 볼수는 없어도 언제나 내 맘엔 똑같은 너인걸 난 기대하잖아 다시 내게 온다고 언제나 내 맘은 니 안에 갇힌걸 한번만 내 맘을 들어줘 Every day Every night I am Missing you 내 곁에 없어도 다신 볼수 없어도 언제나 내 맘은 Because I loving you 한번만 내 맘을 들어줘 Every day Every night I am Missing you 내 곁에 없어도 없어도 난 다신 볼수 없어도 언제나 내 맘엔 똑같은 너인걸 내겐 너만은 똑같은 너인걸
사랑합니다...,팀,나빠요 참 그대란 사람 허락도 없이 왜 내 맘 가져요 그대 때문에 난 힘겹게 살고만 있는데 그댄 모르잖아요 알아요 나는 아니란 걸 눈길 줄 만큼 보잘 것 없단걸 다만 가끔씩 그저 그 미소 여기 내게도 나눠줄 순 없나요 비록 사랑은 아니라도 언젠간 한번쯤은 돌아봐 주겠죠 한없이 뒤에서 기다리면 오늘도 차마 못한 가슴속 한마디 그댈 사랑합니다 어제도 책상에 엎드려 그댈 그리다 잠들었나봐요 눈을 떠보니 눈물에 녹아 흩어져 있던 시린 그대 이름과 헛된 바램뿐인 낙서만 언젠간 한번쯤은 돌아봐 주겠죠 한없이 뒤에서 기다리면 오늘도 차마 못한 가슴속 한마디 그댈 사랑합니다 이젠 너무 나도 내겐 익숙한 그대 뒷모습을 바라보며 흐르는 눈물처럼 소리없는 그말 그댈 사랑합니다
안녕,박혜경,외로운 날들이여 모두 다 안녕 내 마음속에 눈물들도 이제는 안녕 오 어제의 너는 바람을 타고 멀리 후회도 없이 미련없이 날아가 굿바이 오오오 영원히 워오오 거울에 비친 너의 모습이 슬퍼 늘 웃음짓던 예전의 넌 어디에 있니 저 파란 하늘 눈부신 별들도 모두 다 너를 위해 있잖니 더 이상 내 안에 그 일은 없던 일 그래서 아픈 기억 모두 버려야 할 일 눈물짓지마 새로운 오늘을 맞이할 준비를 해봐 오오 외로운 날들이여 모두 다 안녕 내 마음속에 눈물들도 이제는 안녕 오 어제의 너는 바람을 타고 멀리 후회도 없이 미련없이 날아가 굿바이 오오오 영원히 워오오 슬프게 내린 비는 꽃을 피우고 너의 눈물은 예쁜 사랑을 피울꺼야 슬퍼하지마 새로운 오늘을 맞이할 준비를 해봐 오오 햇살 가득한 날들이여 안녕 긴잠에서 날 깨워준 아침이여 안녕 오 너의 유리처럼 맑은 미소가 세상을 환히 웃음짓게 할꺼야 오오 외로운 날들이여 모두 다 안녕 내 마음속에 눈물들도 이제는 안녕 오 어제의 너는 바람을 타고 멀리 후회도 없이 미련없이 날아가 햇살 가득한 날들이여 안녕 긴잠에서 날 깨워준 아침이여 안녕 오 너의 유리처럼 맑은 미소가 세상을 환히 웃음짓게 할꺼야 오
그랬나봐,김형중,많은 친구 모인 밤 그 속에서 늘 있던 자리에 니가 가끔 보이지 않을 때 내가 좋아했던 너의 향길 맡으면 혹시 니가 아닐까 고갤 돌려 널 찾을 때 우연히 너의 동넬 지나갈 때면 어느새 니 얼굴 자꾸 떠오를 때 그랬나봐 나 널 좋아하나봐 하루하루 니 생각만 나는걸 널 보고싶다고 잘할 수 있다고 용기내 전활 걸고 싶었는데 그게 잘 안돼 바보처럼 우연히 너의 메일을 알게 되면서 모니터 앞에 널 밤새 기다릴 때 그랬나봐 나 널 좋아하나봐 하루하루 니 생각만 나는걸 널 보고싶다고 잘할 수 있다고 용기내 전활걸고 싶었는데 그게 잘 안돼 말 하지 못한 막막함을 너는 알고 있을까 오랫동안 기다려온 사람 내 앞에 숨쉬고 있는 걸 그랬나봐 나 널 좋아하나봐 하루하루 니 생각만 나는걸 널 보고싶다고 잘할 수 있다고 용기내 전활걸고 싶었는데 그게 잘 안돼 넌 언제나 나를 꿈꾸게 하지 지금보다 더 좋은 남자 되고싶다고 널 만나러 가는 이 시간 난 연습해 그토록 오랜시간 가슴속에 숨겨 왔던 말 사랑해
고백,델리스파이스,중2때까지 늘 첫째 줄에 겨우 160 이 됐을 무렵 쓸만한 녀석들은 모두 다 이미 첫사랑 진행 중 정말 듣고 싶었던 말이야 물론 2년전 일이지만 기뻐야하는 게 당연한데 내 기분은 그게 아냐 하지만 미안해 이 넓은 가슴에 묻혀 다른 누구를 생각했었어 미안해 너의 손을 잡고 걸을 때에도 떠올렸었어 그 사람을 널 좋아하면 좋아할수록 상처 입은 날들이 더 많아 모두가 즐거운 한 때에도 나는 늘 그곳에 없어 정말 미안한 일을 한걸까 나쁘진 않았었지만 친구인 채 였다면 오히려 즐거웠을 것만 같아 하지만 미안해 네 넓은 가슴에 묻혀 다른 누구를 생각했었어 미안해 너의 손을 잡고 걸을 때에도 떠올랐었어 그 사람이 정말 듣고 싶었던 말이야 물론 2년전 일이지만 기뻐야하는 게 당연한데 내 기분은 그게 아냐 하지만 미안해 네 넓은 가슴에 묻혀 다른 누구를 생각했었어 미안해 너의 손을 잡고 걸을 때에도 떠올렸었어 그 사람을 하지만 미안해 네 넓은 가슴에 묻혀 다른 누구를 생각했었어 미안해 너의 손을 잡고 걸을 때에도 떠올랐었어 그 사람이
그땐 미처 알지 못했지 (Feat. 하림 On Harmonica),이적,그땐 아주 오랜 옛날이었지 난 작고 어리석은 아이였고 열병처럼 사랑에 취해 버리고 심술궂게 그 맘을 내팽개쳤지 내가 버린 건 어떠한 사랑인지 생애 한번 뜨거운 설램인지 두번 다시 또 오지 않는건지 그땐 미처 알지 못했지 오랜 뒤에 나는 알게 되었지 난 작고 어리석었다는 것을 술에 취해 집을 향하던 봄날에 물결처럼 가슴이 일렁거렸지 내가 버린건 어떠한 사랑인지 생애 한번 뜨거운 설렘인지 두번 다시 또 오지 않는건지 그땐 미처 알지 못했지 오 내가 놓아 버린건 어떠한 사랑인지 생애 한번 뜨거운 설렘인지 두번 다시 또 오지 않는건지 그땐 미처 알지 못했지 예예예예예 예-
Never Ending Story,부활,손 닿을 수 없는 저기 어딘가 오늘도 난 숨쉬고 있지만 너와 머물던 작은 의자 위에 같은 모습의 바람이 지나네... 너는 떠나며 마치 날 떠나가듯이 멀리 손을 흔들며 언젠가 추억에 남겨져 갈 꺼라고 그리워하면 언젠가 만나게 되는 어느 영화와 같은 일들이 이뤄져 가기를... 힘겨워 한 날의 너를 지킬 수 없었던 아름다운 시절속에 머문 그대 이기에 너는 떠나며 마치 날 떠나가듯이 멀리 손을 흔들며 언젠가 추억에 남겨져 갈 꺼라고 그리워하면 언젠가 만나게 되는 어느 영화와 같은 일들이 이뤄져 가기를... 힘겨워 한 날의 너를 지킬 수 없었던 아름다운 시절속에 머문 그대여 그리워하면 언젠가 만나게 되는 어느 영화와 같은 일들이 이뤄져 가기를... 힘겨워 한 날의 너를 지킬수 없었던 아름다운 시절속에 머문 그대여 그리워하면 언젠가 만나게 되는 어느 영화와 같은 일들이 이뤄져 가기를... 힘겨워 한 날의 너를 지킬 수 없었던 아름다운 시절속에 머문 그대이기에...
체념,빅마마,행복했어 너와의 시간들 아마도 너는 힘들었겠지 너의 마음을 몰랐던 건 아니야 나도 느꼈었지만 널 보내는게 널 떠나보내는게 아직은 익숙하지가 않아 그렇게 밖에 할 수 없던 니가 원망스러워 왜 말 안했니 아님 못한거니 조금도 날 생각하지 않았니 좋아한다며 사랑한다며 이렇게 끝낼거면서 왜 그런말을 했니 널 미워해야만 하는 거니 아니면 내 탓을 해야만 하는 거니 시간을 돌릴수만 있다면 다시 예전으로 돌아가고 싶은 마음뿐이야 왜 말 안했니 아님 못한거니 조금도 날 생각하지 않았니 좋아한다며 사랑한다며 이렇게 끝낼거면서 왜 그런말을 했니 널 미워해야만 하는 거니 아니면 내 탓을 해야만 하는 거니 시간을 돌릴수만 있다면 다시 예전으로 돌아가고 싶은 마음뿐이야 그래 더 이상 묻지 않을게 내곁을 떠나고 싶다면 돌아보지 말고 떠나가 눈물은 흘리지 않을게 괜히 마음만 약해지니깐 내게서 멀어진 니 모습이 흐릿하게 보여 눈물이 나나봐 널 많이 그리워할것 같아 참아야만 하겠지 잊혀질 수 있도록 다시 사랑같은거 하지 않을래 내 마지막 사랑은 돌아선 너에게 주고 싶어서 행복하길 바래 나보다 좋은 여자 만나기를
친구 붕우 (朋友),안재욱,괜스레 힘든 날 턱없이 전화해 말없이 울어도 오래 들어주던 너 늘 곁에 있으니 모르고 지냈어 고맙고 미안한 마음들 사랑이 날 떠날때 내 어깰 두드리며 보낼 줄 알아야 시작도 안다고 얘기하지 않아도 가끔 서운케 해도 못믿을 이 세상 너와 난 믿잖니 겁없이 달래고 철없이 좋았던 그 시절 그래도 함께여서 좋았어 시간은 흐르고 모든게 변해도 그대로 있어준 친구여 세상에 꺾일때면 술 한잔 기울이며 이제 곧 우리의 날들이 온다고 너와 마주 앉아서 두 손을 맞잡으면 두려운 세상도 내 발 아래 있잖니 세상에 꺽일때면 술 한잔 기울이며 이제 곧 우리의 날들이 온다고 너와 마주 앉아서 두 손을 맞잡으면 두려운 세상도 내 발 아래 있잖니 눈빛만 보아도 널 알아 어느 곳에 있어도 다른 삶을 살아도 언제나 나에게 위로가 되준 너 늘 푸른 나무처럼 항상 변하지 않을 너 얻은 이 세상 그걸로 충분해 내 삶이 하나 듯 친구도 하나야
백설공주를 사랑한 일곱번째 난장이,쿨 (COOL),난 세상에서 가장 아름다운 그녀를 사랑한다 친구들은 왠지 그런 내가 걱정스러운가 보다 난 바보가 아닌데 나도 이제 다 아는데 그래서 난 그녀를 보내기로 했다 난 너무 키가 작다 그대 그렇게 나를 멀리 떠난다해도 끝내 웃음으로 보낼 수 밖에 보잘 것 없는 나의 모습 때문에 나 그대를 잡을 수 없죠 늘 키작은 내 모습만을 원망했기에 난 사랑도 몰랐었는데 마법에 걸려 잠든 그댈 보면서 난 조금씩 사랑을 배웠죠 겨우 이제서야 사랑을 난 알게 됐는데 그댄 왜 나를 남겨두고 떠나가나요 내 사랑만큼 내 모습이 자랄 때까지 내 곁에 좀더 잠들 수 있다면 잠시 부족한 내 모습을 잊어버린 채 감히 나 그대를 사랑했지만 이젠 알았죠 이런 내 모습으론 난 사랑도 할 수 없음을 우습던 날 바라보며 웃던 그대는 내 맘을 다 알지 못했죠 단 하루라도 그대 슬퍼할까봐 날 감추며 광대가 됐던 날 밤새 내 곁에서 잠든 나를 바라보면서 왜 떠나가나요 그대가 흘린 눈물을 난 알지 못했죠 날 지금까지웃게 했던 그 모습으로 애써 아픔을 감추던 그댈 시간이 흘러 그댈 볼 수 있다면 그날까지 나 잠이 들기를 왜 날 이제 어느샌가 떠나야 할 시간이 됐죠 안되는 건가요 그대여 제발 나를 보며 슬퍼 말아요 왜 날 왜 날 왜 날 늘 바보같이 웃음뿐인 그 모습처럼 한번더 내게 바보가 돼줘요 키작은 내 사랑이여 안녕
To My Love (Korean Ver.),윤미래,yeah hey Hey 그댈 만나던 어떤 날보다 옷을 고르기가 어려워 오늘 만나서 하잔 얘기가 왠지 자꾸 맘에 걸려요 만일 그대가 나를 떠나겠다면 나는 붙잡지 못할거예요 사랑한다는 고백보다 힘든게 이별의 말인 것 같아 아니길 바래 난 그대의 사진만 봐도 여전히 가슴 떨리고 설레이는데 아니길 바래 내 사랑을 그대여 제발 놓지 말아요 오늘 밖에는 할 수 없는 얘기면 오늘 약속은 피하고 싶어(피하고 싶어) 다신 그대를 못 볼 것만 같아서 걸음이 느려만 가요 아니길 바래 난 그대의 사진만 봐도 여전히 가슴 떨리고 설레이는데 아니길 바래 내 사랑을 그대여 제발 놓지 말아요 내 예감이 틀리기를 나는 바랄 뿐이죠(oh baby) 그대를 만나고 돌아오는 길이 나 슬프지 않도록 아니길 바래 그 아무리 시간이 가도(시간이 가도) 그대여 나의 곁에 머물겠다고 나에게 말해 그 언제나 그대 나만을 사랑한다고 사랑한다고 떠나지 말아요 -
와줘..,SE7EN,참 많이 미웠어 너의 모든 게 오래 된 사진 속에 날 보고 웃고 선 고운 네 표정들까지 자고 나면 내게로 돌아올 거라고 지겹게 너를 잊지 못하는 내가 더 미웠어 이젠 다 잊을 거란 지킬 수도 없는 약속 하고 너를 보낸 기억에 자꾸 난 지쳐만 가는데 baby 돌아와줘 멀지 않다면 아직 나를 사랑 한다면 아직까지 난 그 자리에 널 기다리고 있어 yeh 이미 다른 사랑 한다면 벌써 나를 다 잊었다면 조금만 더 기다릴게 더 미워할 수 있도록 yeh 참 오래 지났지 네가 떠난 지 사랑한 기억은 다 첨 부터 없었던 일 처럼 모두 잊었어 그런데 왜 이렇게 눈물이 나는지 너를 만나던 거릴 걸으며 또 힘이든 건지 이젠 다 잊었다고 웃을 수도 있다 말도 하고 너의 기억 하나도 없다고 믿고 지냈는데 baby 돌아와줘 멀지 않다면 아직 나를 사랑 한다면 아직까지 난 그 자리에 널 기다리고 있어 yeh 이미 다른 사랑 한다면 벌써 나를 다 잊었다면 조금만 더 기다릴게 더 미워할 수 있도록 yeh 너는 없는데 벌써 떠났는데 너를 잊지 못하고 네가 꼭 돌아올 거라고 내게로 믿고 있는 걸 모르고서 널 다잊었다 믿었나 봐 난 아직 끝까지 널 미워 못하고 그리워만 하나 봐 행복하게 살지 말아줘 나를 떠나 더 힘들어줘 다시 내게 오고 싶도록 baby 언제라도 내가 생각나 혹시 내게로 돌아올까 봐 언제나 난 여전히 이곳에 널 기다리고 있어
