노래제목,가수,가사
Lovey-Dovey,티아라,너무 뻔해 나는 오늘도 혼자서 아 심심해 결국 이렇게 하루가 우우우우우 우우우우우 지나가겠지 봐봐 지나가는 저기 커플 좀 봐 나도 저렇게 사랑할 수 있는데 우우우우우 우우우우우우 너무나 외로워 나도 Lovey Dovey Dovey Uh Uh Uh Uh Lovey Dovey Dovey Uh Uh Uh Uh 더 이상 혼자 두지마 이제 Lovey Dovey Dovey Uh Uh Uh Uh Lovey Dovey Dovey Uh Uh Uh Uh 너는 어디에 에 Oh Lovey Dovey Dovey Uh Uh Uh Uh Lovey Dovey Dovey Uh Uh Uh Uh 너를 꼭 찾아 낼꺼야 너무 오래 얼어버린 나를 녹여버릴 너는 도대체 어디에 있는지 너무 춥네 혼자 보내는 하루가 아 좋겠네 나도 혼자가 아니면 우우우우우 우우우우우 정말 좋겠네 봐봐 여기있는 나를 좀 바라봐 나나 오늘밤은 어둠이 정말로 우우우우우 우우우우우우 너무나 무서워 나도 Lovey Dovey Dovey Uh Uh Uh Uh Lovey Dovey Dovey Uh Uh Uh Uh 더 이상 혼자 두지마 이제 Lovey Dovey Dovey Uh Uh Uh Uh Lovey Dovey Dovey Uh Uh Uh Uh 너는 어디에 에 Oh Lovey Dovey Dovey Uh Uh Uh Uh Lovey Dovey Dovey Uh Uh Uh Uh 너를 꼭 찾아 낼꺼야 너무 오래 얼어버린 나를 녹여버릴 너는 도대체 어디에 있는지 혼자서 하루종일 우우우우우 나 혼자 매일 매일 우우우우우 어둠이 정말 정말 너없인 나 혼자서 하루는 정말 길어 우우우우우 우우우우우 나도 Lovey Dovey Dovey Uh Uh Uh Uh Lovey Dovey Dovey Uh Uh Uh Uh 더 이상 혼자 두지마 이제 Lovey Dovey Dovey Uh Uh Uh Uh Lovey Dovey Dovey Uh Uh Uh Uh 너는 어디에 에 Oh Lovey Dovey Dovey Uh Uh Uh Uh Lovey Dovey Dovey Uh Uh Uh Uh 너를 꼭 찾아 낼꺼야 너무 오래 얼어버린 나를 녹여버릴 너는 도대체 어디에 있는지 우우우우우 우우우우우
Twinkle,소녀시대-태티서 (Girls' Generation-TTS),"The twinkle, twinkle The twinkle, twinkle 숨겨도 twinkle 어쩌나 눈에 확 띄잖아 베일에 싸여 있어도 나는 twinkle 티가 나 딴 사람들도 다 빛나는 나를 좋아해 끝까지 경계해야 해 보석을 훔친 너잖아 늘 나의 곁을 지켜줘 내 주위만 맴돌아 눈을 떼지 말아줘 내 매력에 빠져 숨겨도 twinkle 어쩌나 눈에 확 띄잖아 베일에 싸여 있어도 나는 twinkle 티가 나 난 미지의 세계 시간을 잊어버릴걸 아침에 눈을 떠봐도 꿈은 계속될 거야 난 너를 위해 꾸미고 더 예쁘게 날 반짝일래 왜 너만 혼자 몰라 나의 진가를 숨겨도 twinkle 어쩌나 눈에 확 띄잖아 베일에 싸여 있어도 나는 twinkle 티가 나 너무 태연해 너무 뻔뻔해 밖에는 날 소원하는 줄이 끝이 안 보여 말도 안되게 넌 너무 담담해 난 하늘 아래 떨어진 별 숨겨도 twinkle 어쩌나 눈에 확 띄잖아 베일에 싸여 있어도 나는 twinkle 티가 나 그대의 twinkle 나를 봐 어딜 봐 나를 봐 칙칙한 옷 속에서도 나는 twinkle 태가 나 숨겨도 twinkle 어쩌나 눈에 확 띄잖아 베일에 싸여 있어도 나는 twinkle 티가 나"
바람기억,나얼,바람 불어와 내 맘 흔들면 지나간 세월에 두 눈을 감아본다 나를 스치는 고요한 떨림 그 작은 소리에 난 귀를 기울여 본다 내 안에 숨쉬는 커버린 삶의 조각들이 날 부딪혀 지날 때 그 곳을 바라보리라 우리의 믿음 우리의 사랑 그 영원한 약속들을 나 추억한다면 힘차게 걸으리라 우리의 만남 우리의 이별 그 바래진 기억에 나 사랑했다면 미소를 띄우리라 내 안에 있는 모자란 삶의 기억들이 날 부딪혀 지날 때 그 곳을 바라보리라 우리의 믿음 우리의 사랑 그 영원한 약속들을 나 추억한다면 힘차게 걸으리라 우리의 만남 우리의 이별 그 바래진 기억에 나 사랑했다면 미소를 띄우리라
나를 사랑했던 사람아,허각,잘 지내고 있는건지 무슨 일 없는지 지겹던 너의 잔소리가 너무 그리워서 그렇게 나 하나밖에 모르던 너인데 나 없이도 괜찮은지 하루에 수백번씩 나 후회를 하고 네가 없다는걸 느끼며 나 매일을 살아 널 위해 내가 떠나야 하는게 맞지만 난 널 잊고 살 순 없는가봐 나를 사랑했던 사람아 이젠 곁에 없지만 아직 잊지 못하고 너를 잊지 못하고 그저 한번이라도 다시 볼 수 있다면 볼 수만 있다면 다시 널 볼 수 있다면 너무나도 아프고 잊을 수가 없어 하루에도 몇번씩 하던 너의 그 투정이 웃으며 내 품에 안겨서 날 보던 모습이 헤어지던 날 너의 두 눈이 나를 사랑했던 사람아 이젠 곁에 없지만 아직 잊지 못하고 너를 잊지 못하고 그저 한번이라도 다시 볼 수 있다면 널 볼 수만 있다면 네가 있어서 나는 항상 웃을 수 있었고 네가 있기에 내가 가장 행복했었고 너로 인해 내 삶도 살아볼만했었어 내가 너무도 사랑했던 사람아
여수 밤바다,버스커 버스커,여수 밤바다 이 조명에 담긴 아름다운 얘기가 있어 네게 들려주고파 전활 걸어 뭐하고 있냐고 나는 지금 여수 밤바다 여수 밤바다 아 아 아 아 아 아 아 너와 함께 걷고 싶다 이 바다를 너와 함께 걷고 싶어 이 거리를 너와 함께 걷고 싶다 이 바다를 너와 함께 걷고 싶어 여수 밤바다 여수 밤바다 이 바람에 걸린 알 수없는 향기가 있어 네게 전해주고파 전활 걸어 뭐하고 있냐고 나는 지금 여수 밤바다 여수 밤바다 아 아 아 아 아 아 아 너와 함께 걷고 싶다 이 바다를 너와 함께 걷고 싶어 이 거리를 너와 함께 걷고 싶다 이 바다를 너와 함께 너와 함께 오 바다 이 조명에 담긴 아름다운 얘기가 있어 네게 들려주고파 전활 걸어 뭐하고 있냐고 나는 지금 여수 밤바다 여수 밤바다 아 바다 아아아 하아아아 하아오오 하 아아아 허오 아아아아 뭐하고 있냐고 나는 지금 여수 밤바다
MONSTER,BIGBANG (빅뱅),오랜만이야 못 본 사이 그댄 얼굴이 좋아 보여 예뻐졌다 넌 항상 내 눈엔 원래 고와 보여 근데 오늘따라 조금 달라 보여 유난히 뭔가 더 차가워 보여 나를 보는 눈빛이 동정에 가득 차있어 네 앞에서 난 작아 보여 괜찮은 척 애써 대화주제를 바꿔버려 묻고 싶은 말은 많은데 넌 딱 잘라버려 네 긴 머린 찰랑거려 내 볼을 때리곤 스쳐지나 뒤돌아선 곧장 가버려 여기서 널 잡으면 우스워지나 아무 말도 떠오르지 않죠 떨면서 넌 한두 발짝 뒤로 이젠 내가 무섭단 그 말 날 미치게 하는 너란 달 I love you baby I’m not a monster 넌 알잖아 예전 내 모습을 시간이 지나면 사라져 버릴 텐데 그 땐 알 텐데 baby I need you baby I’m not a monster 날 알잖아 이렇게 가지마 너 마저 버리면 난 죽어버릴 텐데 I’m not a monster 무슨 일이 있어도 영원하자고 슬플 때도 기쁠 때도 끝까지 하자고 You don’t say that tomorrow 오늘이 마지막인 것처럼 사랑하자고 너 없는 삶은 종신형 세상과 단절돼 돌 지경이야 너란 존재는 고질병 시련의 연속 마음 속 미련이야 세상사람들이 내게 돌린 등 모든 것이 베베 꼬여있던 눈초리들 내게 가장 큰 아픔은 아픔은 네가 그들 같아졌단 것뿐 I love you baby I’m not a monster 넌 알잖아 예전 내 모습을 시간이 지나면 사라져 버릴 텐데 그 땐 알 텐데 baby I need you baby I’m not a monster 날 알잖아 이렇게 가지마 너마저 버리면 난 죽어버릴 텐데 I’m not a monster 가지마 가지마 가지마 떠나지 말아 하지마 하지마 하지마 너 같지않아 멀어진 채로 사랑은 걸러진 채로 찾지마 찾지마 찾지마 날 찾지 말아 마지막 마지막 마지막 네 앞에 서 있는 내 모습을 기억해줘 날 잊지 말아줘 I love you baby I’m not a monster 넌 알잖아 예전 내 모습을 시간이 지나면 사라져 버릴 텐데 그 땐 알 텐데 baby I need you baby I’m not a monster 날 알잖아 이렇게 가지마 너 마저 버리면 난 죽어버릴 텐데 I’m not a monster I think I’m sick I think I’m sick I think I’m sick I think I’m sick
I Need You,"허각, 지아",I Need You 가만히 눈을 감고 있어도 자꾸 생각나죠 그댄 내게 마치 뜬 구름 같은걸 사랑이란 말로 아직 부족한가요 내 맘이 위험한가요 그댄 내게 전부가 됐네요 같은 길을 걷고 같은 꿈을 꾸고 나 혼자만 몰래 상상을 하고 oh 그대 곁에 잠든 마치 연인 같은 그대와 내 모습 baby I love you I need you 수줍은 나의 고백 오랫동안 몰래 숨겨왔던 노래 I need you 참 순진했던 고백 너도 좋다면 가까이 다가와 I need you 울리지도 않는 전화기를 자꾸 보게되죠 그댄 내게 기분 좋은 기대 같은걸 하루만 더 기다리면 답이 올까요 차라리 고백할까요 한걸음만 더 다가와줘요 같은 길을 걷고 같은 꿈을 꾸고 나 혼자만 몰래 상상을 하고 oh 그대 곁에 잠든 마치 연인 같은 그대와 내 모습 baby I love you I need you 수줍은 나의 고백 오랫동안 몰래 숨겨왔던 노래 I need you 참 순진했던 고백 너도 좋다면 가까이 다가와 I need you oh I need you only you 그댄 나의 전부 인걸요 Im missing you Im in love with you 오늘도 내일도 I need you 수줍은 나의 고백 오랫동안 몰래 숨겨왔던 노래 I need you 참 순진했던 고백 너도 좋다면 가까이 다가와 I need you I need you 수줍은 나의 고백 오랫동안 몰래 숨겨왔던 노래 I need you 참 순진했던 고백 너도 좋다면 가까이 다가와 I need you
BLUE,BIGBANG (빅뱅),겨울이 가고 봄이 찾아오죠 우린 시들고 그리움 속에 맘이 멍들었죠 I’m singing my blues 파란 눈물에 파란 슬픔에 길들여져 I’m singing my blues 뜬구름에 날려보낸 사랑 oh oh 같은 하늘 다른 곳 너와나 위험하니까 너에게서 떠나주는 거야 님이란 글자에 점하나 비겁하지만 내가 못나 숨는 거야 잔인한 이별은 사랑의 말로 그 어떤 말도 위로 될 수는 없다고 아마 내 인생의 마지막 멜로 막이 내려오네요 이제 태어나서 널 만나고 죽을 만큼 사랑하고 파랗게 물들어 시린 내 마음 눈을 감아도 널 느낄 수 없잖아 겨울이 가고 봄이 찾아오죠 우린 시들고 그리움 속에 맘이 멍들었죠 I’m singing my blues 파란 눈물에 파란 슬픔에 길들여져 I’m singing my blues 뜬구름에 날려보낸 사랑 oh oh 심장이 멎은 것 만 같아 전쟁이 끝나고 그 곳에 얼어 붙은 너와나 내 머릿속 새겨진 Trauma 이 눈물 마르면 촉촉히 기억하리 내 사랑 괴롭지도 외롭지도 않아 행복은 다 혼잣말 그 이상에 복잡한 건 못 참아 대수롭지 아무렇지도 않아 별수없는 방황 사람들은 왔다 간다 태어나서 널 만나고 죽을 만큼 사랑하고 파랗게 물들어 시린 내 마음 너는 떠나도 난 그대로 있잖아 겨울이 가고 봄이 찾아오죠 우린 시들고 그리움 속에 맘이 멍들었죠 오늘도 파란 저 달빛아래에 나 홀로 잠이 들겠죠 꿈속에서도 난 그대를 찾아 헤매이며 이 노래를 불러요 I’m singing my blues 파란 눈물에 파란 슬픔에 길들여져 I’m singing my blues 뜬구름에 날려보낸 사랑 I’m singing my blues 파란 눈물에 파란 슬픔에 길들여져 I’m singing my blues 뜬구름에 날려보낸 사랑 oh oh
목소리 (Feat. 개리 Of 리쌍),백지영,니 목소리가 들려 니 목소리가 들려 니 목소리가 들려 내 귓가에 파도소리 아무도 없는 것 같아 아프게 홀로 서있는 난 Cuz I’m so lonely 울지 말자 했잖아 바다만 보러 왔잖아 이제는 그만 이제는 그만 이제는 그만 이제는 그만 떠나지 않는 내 귓가에 그의 목소리 너를 떠나 보냈는데 자꾸 들리는 목소리 난 눈을 감아도 또 숨을 참아도 들려 그 놈 목소리 아프게 더 날 나쁘게 만드는 그 놈 목소리 난 볼 수도 없고 만질 수도 없는 너를 저 파도 속에 다 흘려 보내 부서지는 파도 그처럼 아프다 내 맘도 서럽게도 시간이란 놈은 잘도 흘러간다 아무리 잡고 잡으려 해도 파도처럼 너는 왔다 가고 너보다 잘난 사람 백 명이 와도 사랑하기 싫다 너 말고 가슴 아픈 이별마저도 잡고 놔주고 싶지 않아 상처라도 갖고 다 주고 싶지 않아 왜 하필 나야 영원히 널 갖지 못하는 게 이게 다야 우리 사랑이란게 차라리 잘해주지 말지 못된 사람 하루도 제대로 못 살아 이게 뭐야 참고 참아도 버리고 버려도 내 맘에 다시 돌아오는 건 너야 술을 마셔도 거릴 걸어도 혼자 떠나도 파도처럼 나를 다시 덮치는 건 너야 너를 떠나 보냈는데 자꾸 들리는 목소리 난 눈을 감아도 또 숨을 참아도 들려 그 놈 목소리 아프게 더 날 나쁘게 만드는 그 놈 목소리 난 볼 수도 없고 만질 수도 없는 너를 저 파도 속에 다 흘려 보내 파도처럼 너는 다시 왔다 가고 하루하루 그리움에 나는 살고 참고 참아도 버리고 버려도 내 맘에 다시 돌아오는 너를 안고 난 살아가 매일매일 니 목소리에 니 목소리가 들려 매일매일 내가 죽을 것 같애 입을 막고 서글퍼라 평생 울 것을 다 울어 이제야 알겠어 눈물이 많단 걸 나도 결국 여자야 아프게 더 날 나쁘게 만드는 그 놈 목소리 난 볼 수도 없고 만질 수도 없는 너를 저 파도 속에 다 흘려 보내
Like this,원더걸스,Like this yo Like this 위 아래로 흔들어 Like this Like this yo Like this 몸을 돌려 좌우로 Like this Like this yo Like this 파도처럼 내려가 Like this Like this yo Like this 다같이 Stop 자 흔들어봐 나른하고 지치고 따분한 지친 일상을 벗어나 뭔가 상큼하고 새롭고 신나는 일을 찾고 있다면 나를 어서 따라와 상쾌한 바람이 네게 들어와 너를 깨어나게 해줄게 여기 내 손을 잡아 오우 Come on baby come on 귀를 열어봐 Feel it baby feel it 어서 느껴봐 Go on baby go on 용기를 내봐 1 2 3 자 Ready set go Come on baby come on 귀를 열어봐 Feel it baby feel it 어서 느껴봐 Go on baby go on 용기를 내봐 1 2 3 자 Ready set go Like this yo Like this 위 아래로 흔들어 Like this Like this yo Like this 몸을 돌려 좌우로 Like this Like this yo Like this 파도처럼 내려가 Like this Like this yo Like this 다같이 Stop 자 흔들어봐 마음속에 있는 그 무거운 짐을 잠시 내려 놓고 정말 자유롭게 나는 저 새처럼 날아 보고 싶다면 걱정하지마 너의 두려운 고민을 다 잊게 해줄 음악을 마시게 해줄게 어서 나를 믿어봐 오우 Come on baby come on 귀를 열어봐 Feel it baby feel it 어서 느껴봐 Go on baby go on 용기를 내봐 1 2 3 자 Ready set go Come on baby come on 귀를 열어봐 Feel it baby feel it 어서 느껴봐 Go on baby go on 용기를 내봐 1 2 3 자 Ready set go Like this yo Like this 위 아래로 흔들어 Like this Like this yo Like this 몸을 돌려 좌우로 Like this Like this yo Like this 파도처럼 내려가 Like this Like this yo Like this 다같이 Stop 자 흔들어봐 자 오른쪽으로 걸어봐 두발 손을 머리 어깨 치고 치고 다시 또 왼쪽으로 가 두발 발 짚고 일어나 짚고 일어나 오른쪽으로 걸어봐 두발 손을 머리 어깨 치고 치고 다시 또 왼쪽으로 가 두발 발 짚고 일어나 짚고 일어나 Like this yo Like this 위 아래로 흔들어 Like this Like this yo Like this 몸을 돌려 좌우로 Like this Like this yo Like this 파도처럼 내려가 Like this Like this yo Like this 다같이 Stop 자 흔들어봐
이러지마 제발 (Please Don't...),케이윌,나란히 앉은 자동차 속에선 음악도 흐르지 않아 늘 잡고 있던 니 왼손으로 너 입술만 뜯고 있어 니가 할 말 알아 그 말만은 말아 Don’t know why Don’t know why 일분 일초 더 끌고 싶은데 텅 빈 길 나를 재촉해 빙빙 돌아온 너의 집 앞이 나 익숙해 눈물이 나와 하루가 멀게 찾아온 여기서 길을 내가 잃은 것 같아 이러지마 제발 떠나지마 제발 Don’t know why Don’t know why 비도 안 오는 유리창 너머 뿌옇게 멀어지는 너 말처럼 쉽진 않은 널 보내야 한다는 일 돌아서서 날 버리고 가는 널 보지 못하고 떨구고 마는 눈물도 이젠 닦아야겠지 주머니 속 니가 줬던 손수건을 써야 할 지 이젠 버려야 할지 왜 떨림이 멈추질 않지 미친척하고 널 잡아 보려 해도 내 몸이 내 말을 잘 듣지를 않아 차 안에 남은 니 향기에 취해 영영 깨고 싶지 않은걸 이러지마 제발 떠나지마 제발 돌아와 돌아와 니가 떠나간 빈자리 위엔 차가운 향기만 남아 이러지마 제발 떠나지마 제발 돌아와 돌아와 남은 향기만 안고 있을게 돌아와 니 자리로
너랑 나,아이유,시곌 보며 속삭이는 비밀들 간절한 내 맘속 이야기 지금 내 모습을 해쳐도 좋아 나를 재촉하면 할수록 좋아 내 이름 불러줘 손 틈새로 비치는 내 맘 들킬까 두려워 가슴이 막 벅차 서러워 조금만 꼭 참고 날 기다려줘 너랑 나랑은 지금 안되지 시계를 더 보채고 싶지만 네가 있던 미래에서 내 이름을 불러줘 내가 먼저 엿보고 온 시간들 너와 내가 함께였었지 나랑 놀아주는 그대가 좋아 내가 물어보면 그대도 좋아 내 이름이 뭐야 손 틈새로 비치는 내 맘 들킬까 두려워 가슴이 막 벅차 서러워 조금만 꼭 참고 날 기다려줘 너랑 나랑은 지금 안되지 시계를 더 보채고 싶지만 네가 있던 미래에서 내 이름을 불러줘 눈 깜박하면 어른이 될 거에요 날 알아보겠죠 그댄 기억하겠죠 그래 기묘했던 아이 손 틈새로 비치는 네 모습 참 좋다 손끝으로 돌리며 시곗바늘아 달려봐 조금만 더 빨리 날아봐 두 눈을 꼭 감고 마법을 건다 너랑 나랑은 조금 남았지 몇 날 몇실진 모르겠지만 네가 있을 미래에서 혹시 내가 헤맨다면 너를 알아볼 수 있게 내 이름을 불러줘
"1,2,3,4 (원,투,쓰리,포)",이하이,Hey C’mon now I said 1 2 3 아직도 내가 니 거라는 착각은 그만 예전의 그때 내가 아냐 아침이 밝는 소리에 꽃은 저만치 폈는데 여전히 정신 못 차려 왜 I’m sick and tired 너의 위선에 어설픈 liar ooh 이제 좀 꺼져줄래 I think I’m going going crazy ooh I think I’m going going crazy ooh 더 비참하게 굴지는 마 사라져줘 저 멀리 no no Nananananana 구차하게 울지는 마 다 잊어줘 영원히 no no Listen 남 걱정하지 말고 너나 잘 해 니 그런 동정 따윈 필요 없어 uh I said 1 and 2 and 3 4 ooh 시간이 모든걸 해결할거야 1 and 2 and 3 4 ooh game over game over ooh game over 나 같은 여자 어딜 가도 눈 씻고 봐도 보기 드무네 때로는 섹시 때론 청순함에 남자들은 울고 가네 유치하게 I’m sick and tired 너의 위선에 어설픈 liar ooh 제발 좀 꺼져줄래 I think I’m going going crazy ooh I think I’m going going crazy ooh 더 비참하게 굴지는 마 사라져줘 저 멀리 no no Nananananana 구차하게 울지는 마 다 잊어줘 영원히 no no Listen 남 걱정하지 말고 너나 잘 해 니 그런 동정 따윈 필요 없어 uh I said 1 and 2 and 3 4 ooh 시간이 모든걸 해결할거야 1 and 2 and 3 4 ooh game over game over ooh game over 너무나 아파 벌써 잊었나 봐 Hey baby 떠나가줘 I said 1 and 2 and 3 4 ooh 시간이 모든걸 해결할거야 1 and 2 and 3 4 ooh game over game over ooh game over 1 and 2 and 3 4 1 and 2 and 3 4 1 and 2 and 3 4 game over game over game over
보여줄게,에일리(Ailee),내가 사준 옷을 걸치고 내가 사준 향술 뿌리고 지금쯤 넌 그녈 만나 또 웃고 있겠지 그렇게 좋았던거니 날 버리고 떠날 만큼 얼마나 더 어떻게 더 잘해야 한거니 너를 아무리 지울래도 함께한 날이 얼마인데 지난 시간이 억울해서 자꾸 눈물이 흐르지만 보여줄게 완전히 달라진 나 보여줄게 훨씬 더 예뻐진 나 바보처럼 사랑때문에 떠난 너 때문에 울지 않을래 더 멋진 남잘 만나 꼭 보여줄게 너보다 행복한 나 너 없이도 슬프지 않아 무너지지않아 Boy you gotta be aware 산뜻하게 머릴 바꾸고 정성 들여 화장도 하고 하이힐에 짧은 치마 모두 날 돌아봐 우연히라도 널 만나면 눈이 부시게 웃어주며 놀란 니 모습 뒤로 한 채 또각또각 걸어가려해 보여줄게 완전히 달라진 나 보여줄게 훨씬 더 예뻐진 나 바보처럼 사랑때문에 떠난 너 때문에 울지 않을래 더 멋진 남잘 만나 꼭 보여줄게 너보다 행복한 나 너 없이도 슬프지 않아 무너지지 않아 Boy you gotta be aware 니가 줬던 반질 버리고 니가 썼던 편질 지우고 미련없이 후회없이 잊어줄거야 너를 잊을래 너를 지울래 보여줄게 완전히 달라진 나 보여줄게 훨씬 더 예뻐진 나 바보처럼 사랑때문에 떠난 너 때문에 울지 않을래 더 멋진 남잘 만나 꼭 보여줄게 너보다 행복한 나 너 없이도 슬프지 않아 무너지지 않아 Boy you gotta be aware
충분히 예뻐 (feat. 산체스 Of 팬텀),버벌진트,"girl, you know you deserve better 충분히 예뻐 그런 남자 때문에 상처받아 울기엔 넌 너무 아름다운 걸 고개 들어봐 화장이 이게 뭐야 그 손 내려봐 또 울었니 설마 몇 번을 말했어 그 남잔 아니라고 걔랑 만난 후로 너 잠깐만이라도 행복하다 생각한 적 있니 그는 널 얼마나 소중하게 여기니 그 사람에게 넌 단지 장식품 관심도 없겠지 네 감정 네 상처와 네 꿈 그런 남자에겐 네가 아까워 매일 눈물 흘리기엔 넌 너무 아름다워 넌 사랑받아야 돼 그럴 자격 있어 널 소중하게 대할 남자 여기 있어 충분히 예뻐 그런 남자 때문에 상처받아 울기엔 넌 너무 아름다운 걸 내가 그에게서 벗어나게 해줄게 네 아름다운 두 눈에서 눈물 마르게 해줄게 충분히 예뻐 넌 girl you deserve better love, girl 이해가 안 가, 어째서 넌 그 사람에게서 떠나지 않는지 아프면서도 계속 처음 그 자리로 돌아가잖아 바보도 아니고 난 화가 나 한 번만 더 널 울게 만들면 그 땐 나도 뭔 짓을 할지 몰라 못 참아 그런 남자 때문에 울기엔 넌 충분히 예뻐 꺼내줄게 너 거기에서 사랑 때문에 울기엔 넌 충분히 예뻐 내가 네 곁에 있게 해줘 pretty girl 그 남자는 아직 너를 몰라 he doesn't know pretty girl, 네 안에 있는 보석을 못봐 he's blind to it blind to it 너무도 일방적인 일방적인 그런 관계에서 벗어나게 해줄게 내가 널 행복하게 해줄게 충분히 예뻐 그런 남자 때문에 상처받아 울기엔 넌 너무 아름다운 걸 you deserve better 내가 그에게서 벗어나게 해줄게 get you out of there 네 아름다운 두 눈에서 눈물 마르게 해줄게 충분히 예뻐 상처받아 울기엔 넌 너무 아름다운 걸 내가 그에게서 벗어나게 해줄게 네 아름다운 두 눈에서 눈물 마르게 해줄게 충분히 예뻐 넌 충분히 예뻐 넌 you deserve better love you deserve better 근데 어째서 넌 그런 남자의 곁에 있는지 I wonder 충분히 예뻐 넌 충분히 예뻐 넌 you deserve better love you deserve better 내가 행복하게 해줄게 baby girl, if you come to me"
먼지가 되어,"로이킴, 정준영",바하의 선율에 젖은 날에는 잊었던 기억들이 피어나네요 바람에 날려간 나의 노래도 휘파람 소리로 돌아오네요 내 조그만 공간 속에 추억만 쌓이고 까닭 모를 눈물만이 아른거리네 작은 가슴 모두 모두어 시를 써봐도 모자란 당신 먼지가 되어 날아 가야지 바람에 날려 당신 곁으로 바하의 선율에 젖은 날에는 잊었던 기억들이 피어나네요 바람에 날려간 나의 노래도 휘파람 소리로 돌아오네요 내 조그만 공간 속에 추억만 쌓이고 까닭 모를 눈물만이 아른거리네 작은 가슴 모두 모두어 시를 써봐도 모자란 당신 먼지가 되어 날아 가야지 바람에 날려 당신 곁으로
DAY BY DAY,티아라,내품은 너에게 피난처 다른 사람에 나는 버려져 사랑 그 끝은 까만 터널속 보이지 않는 길이 나는 너무 두려워 태양이 내리쬐는 붉은 사막처럼 목말라 울고 있는 사람처럼 kiss me ma baby 이 밤이 가기전에 내게 어서빨리 Day by Day 니 품이 그리워져 너무 사랑 했나봐 이 밤이 지나가면 눈물되어 톡 톡 톡 저 은빛 달이 지면 사라질까 아직 남아있는 니 향기 꿈같던 추억들도 흩어질까 빗물처럼 멀리 톡 톡 톡 Kiss me baby I'll must be stay here Day by Day 사랑한다고 속삭여줘 Kiss me baby Just you can take me Day by Day 내 눈물이 마르기 전에 뚜루루루루루루 뚜루두 바람 처럼 모두 사라져 버린 너 뚜루루루루루루 뚜루두 하루하루 널 그리며 day by day 스치는 추억들이 그리운 밤 들려오는 너의 목소리 영원을 약속했던 수많은 밤 눈물되어 톡 톡 톡 Kiss me baby I'll must be stay here Day by Day 사랑한다고 속삭여줘 Kiss me baby Just you can take me Day by Day 내 눈물이 마르기 전에 뚜루루루루루루 뚜루두 바람 처럼 모두 사라져 버린 너 뚜루루루루루루 뚜루두 하루하루 널 그리며 Day by Day 떠나가는 니 모습 니 생각에 또 눈물이 흘러 돌아온다고 말해줘 우리사랑 영원하도록 넌 나를 두고 가라 저 멀리 멀리 길 따라 사라져 미친 사랑끝 아슬한 낭떠러지 질긴 사랑에 감염돼 계속떨었지 슬픈 시를 읊어대는 내 입술이 너의 까만 눈동자에 기억되리 kiss me ma baby 이 밤이 가기전에 내게 어서빨리 Day by Day Kiss me baby I'll must be stay here Day by Day 슬프지만 너를 지울래 Kiss me baby Just you can take me Day by Day 내 눈물이 마르기 전에 kiss me baby take me day by day
애상,10CM,말리지마 내 이런 사랑을 너만 보면 미칠 것 같은 이 맘을 누가 알겠어 웨딩드레스 입은 니 곁에 다른 사람이 알잖아 너를 이토록 사랑하며 기다린 나를 뭐가 그리 바쁜지 너무 보기 힘들어 넌 도대체 뭐하고 다니니 그게 아냐 이유는 묻지마 그냥 믿고 기다려 주겠니 내게도 사랑을 위한 시간이 필요해 널 받아들일 수 있게 일부러 피하는 거니 문자 해도 아무 소식 없는 너 싫으면 그냥 싫다고 솔직하게 말해봐 말리지마 내 이런 사랑을 너만 보면 미칠 것 같은 이 맘을 누가 알겠어 웨딩드레스 입은 니 곁에 다른 사람이 난 두려워 나보다 더 멋진 그런 남자 니가 만날까봐 아니야 그렇지 않아 정말 너 하나뿐야 속는셈 치고 한번 믿어봐 우연히 너를 보았지 다른 남자 품 안에 너를 한번도 볼 수 없었던 너무 행복한 미소 내 사랑은 무너져 버렸어 그게 아냐 변명이 아니라 그 남자는 나완 상관없어 잠시 나 어지러워서 기댄 것 뿐이야 날 오해하지 말아줘 나 역시 많은 여자들 만났다가 헤어져도 봤지만 한꺼번에 많은 여자를 만난 적은 없었어 니가 뭔데 날 아프게 하니 너 때문에 상처 돼버린 내 사랑 이제 다시는 너의 어떤 만남도 나 같은 사람 없을 걸 난 두려워 나 역시 다시는 이런 사랑할 수 없을까봐 믿을 수 없겠지만은 니가 첫사랑인데 떠나버리면 어떡하라고 사랑까지는 바라지도 않을께 니 곁에 항상 있게만 해줘 제발 제발
