노래제목,가수,가사
그대가 분다,엠씨더맥스 (M.C the MAX),옅은 바람 냄새에 두 눈을 감아본다 낡은 가슴 여전한 떨림 그대가 그대가 온다 어렴풋이 피어오르는 그 옛날의 기억이 두 눈에 소리 없이 흘러 이 가슴을 울려온다 내 맘속에 그대가 분다 그 시절 그때처럼 웃으며 나에게 불어와 소리 없이 그대가 분다 내 가슴 한가운데 보고 싶은 그대가 분다 앙상해진 너의 계절에 가슴이 시려 와도 돌아보면 어제 같은 날들 그 시절은 영원하다 내 맘속에 그대가 분다 그 시절 그때처럼 웃으며 나에게 불어와 소리 없이 그대가 분다 내 가슴 한가운데 보고 싶은 그대가 분다 정말 사랑했구나 그댈 매일 돌아보며 사는 나 내 맘속에 그대가 분다 어디선가 그대가 운다 안아주고 싶지만 자꾸만 멀어지잖아 온 맘 다해 그댈 부른다 이 세상 한가운데 눈물로 그댈 불러본다 하루 종일 그대가 분다
사람냄새,"정인, 개리",이마가 훤히 보이게 뒤로 묶은 머리카락 걸을 때마다 찰랑찰랑 매끈한 다리를 감싼 바지 끝단 아래로 가벼운 운동화 모든 게 심플하지만 아름다움이 풍겨와 또 어딜 가든 예의 바른 행동과 미소와 말툰 내 거친 생각마저 상냥하게 만들어 넌 마치 내 심장 위에 타투 숨통이 막히도록 차있어 내 가슴 가득 우리 함께 밤을 보낸 다음 이불 끝자락에 남은 너의 향기에 난 취해 잠을 자 새하얀 너의 살을 부드러운 뺨을 마음껏 품은 다음 밤새도록 괴롭히고파 돈 보다 자기 삶을 즐기며 살 줄 아는 평범치 않은 아름다운 매력의 소유자 사람냄새가 나 이 복잡한 세상 넌 마치 때 타지 않은 자연산 사람냄새가 나서 니가 너무 좋아져 어설픈 외모가 왠지 더 끌려 난 우물쭈물 하다가 너를 놓칠까 봐 난 미칠 것 만 같아 진흙탕을 달리는 마차처럼 막 살아 왠지 거칠어 보이지만 막상 뜯어보면 상처 많은 남자 공장 굴뚝의 연기처럼 흘러가는 대로 살아왔지 혼자 땀내나게 일해 쌀과 돈은 넘쳐났지만 함께 나누고픈 사랑을 못 찾았지 난 하지만 넌 좀 달라 마치 LP처럼 사람 손을 그리워할 줄 아는 여자 힘든 하루하루 나는 너를 알고 난 후 모든 것들이 다시 제자리로 돌아가 힘든 하루하루 나는 너를 알고 난 후 모든 것이 다 숨을 쉬며 살아가 사람냄새가 나서 니가 너무 좋아져 어설픈 외모가 왠지 더 끌려 난 우물쭈물 하다가 너를 놓칠까 봐 난 미칠 것 만 같아 하늘이 하늘답게 보여지듯이 바람이 바람답게 느껴지듯이 있는 그대로의 니 모습 꾸며지지 않은 니 모습 그 아름다움에 빠져들어 사람냄새가 나서 니가 너무 좋아져 어설픈 외모가 왠지 더 끌려 난 우물쭈물 하다가 너를 놓칠까 봐 난 미칠 것 만 같아 사람냄새가 나서 니가 너무 좋아져 어설픈 외모가 왠지 더 끌려 난 우물쭈물 하다가 너를 놓칠까 봐 난 미칠 것 만 같아
그 중에 그대를 만나,이선희,그렇게 대단한 운명까진 바란적 없다 생각했는데 그대 하나 떠나간 내 하룬 이제 운명이 아님 채울 수 없소 별처럼 수 많은 사람들 그 중에 그대를 만나 꿈을 꾸듯 서롤 알아보고 주는 것 만으로 벅찼던 내가 또 사랑을 받고 그 모든건 기적이었음을 그렇게 어른이 되었다고 자신한 내가 어제같은데 그대라는 인연을 놓지 못하는 내 모습 어린아이가 됐소 별처럼 수 많은 사람들 그 중에 그대를 만나 꿈을 꾸듯 서롤 알아보고 주는 것 만으로 벅찼던 내가 또 사랑을 받고 그 모든건 기적이었음을 나를 꽃처럼 불러주던 그대 입술에 핀 내 이름 이제 수많은 이름들 그 중에 하나되고 오 그대의 이유였던 나의 모든 것도 그저 그렇게 별처럼 수 많은 사람들 그 중에 서로를 만나 사랑하고 다시 멀어지고 억겁의 시간이 지나도 어쩌면 또다시 만나 우리 사랑 운명이었다면 내가 너의 기적이었다면
Come Back Home,2NE1,One two three 넌 나를 떠났지만 어딘가에서 너의 숨소리가 들려와 또 다시 Four five six 빨간 눈물이 내려와 나를 안던 너의 향기가 그립다 나를 위한 거라 했던 너의 말 거짓말처럼 차갑게 돌아섰던 너는 왜 너는 왜 you’re gone away Come Back Home Can you come back home 차가운 세상 끝에 날 버리지 말고 내 곁으로 Come back home Can you come back home 모든 아픔은 뒤로 해 여전히 널 기다려 이렇게 Now you gotta do what you gotta do COME BACK HOME COME BACK HOME Come baby baby come come baby Come Come baby baby come come 내게 돌아와 Come baby baby come come baby Come Come baby baby come come 아무 대답 없는 니가 너무 밉지만 가끔은 너도 나를 그리워할까 yeah 너 없는 시간 속에 갇혀버린 난 앞을 볼 수가 없어 너무 두려워 아직도 못다 한 많은 날들이 기다리고 있을 것만 같아 너는 어디에 어디에 too far away Come Back Home Can you come back home 차가운 세상 끝에 날 버리지 말고 내 곁으로 Come back home Can you come back home 모든 아픔은 뒤로 해 여전히 널 기다려 이렇게 Now you gotta do what you gotta do Come back home Come back home Come baby baby come come baby Come Come baby baby come come 내게 돌아와 Come baby baby come come baby Come Come baby baby come come Come Back Home Can you come back home 차가운 세상 끝에 날 버리지 말고 내 곁으로 Come back home Can you come back home 모든 아픔은 뒤로 해 여전히 널 기다려 이렇게 Now you gotta do what you gotta do
짧은 치마 (Miniskirt),AOA,Hey Hey Hey AOA Hey Hey Hey Brave Sound Drop it 날 바라보는 시선이 너는 예전 같지가 않은 걸 난 아직도 쓸만한데 너는 왜 날 헌 신 짝 보듯이 해 Hey 너무 이뻐 보여 내가 뭐를 입던지 너무 섹시해 보여 굳이 노출 안 해도 아찔한 나의 하이힐 새까만 스타킹 도저히 눈을 뗄 수 없을 걸 말리지마 짧은 치마를 입고 내가 길을 걸으면 모두 나를 쳐다봐 짧은 치마를 입고 근데 왜 하필 너만 날 몰라주는데 당당한 여잔데 왜 나를 힘들게 해 넌 나만 무시해 어디로 튈지 몰라 나 시간 내 nail 받고 머릴 바꿔봐도 새 구두 신고 괜히 짧은 치말 입어 봐도 넌 몰라봐 왜 무덤덤해 왜 딴 늑대들이 날 물어가기 전에 그만 정신 차려 boy 너무 이뻐 보여 내가 뭐를 입던지 너무 섹시해 보여 굳이 노출 안 해도 아찔한 나의 하이힐 새까만 스타킹 도저히 눈을 뗄 수 없을 걸 말리지마 짧은 치마를 입고 내가 길을 걸으면 모두 나를 쳐다봐 짧은 치마를 입고 근데 왜 하필 너만 날 몰라주는데 당당한 여잔데 왜 나를 힘들게 해 넌 나만 무시해 어디로 튈지 몰라 나 난 점점 지쳐가 날 바라보는 그 눈빛마저도 왜 그리 차가운지 모르겠어 이제 변할 거야 oh oh 당당한 여잔데 왜 나를 힘들게 해 넌 나만 무시해 어디로 튈지 몰라 나
너의 모든 순간,성시경,이윽고 내가 한눈에 너를 알아봤을 때 모든 건 분명 달라지고 있었어 내 세상은 널 알기 전과 후로 나뉘어 니가 숨 쉬면 따스한 바람이 불어와 니가 웃으면 눈부신 햇살이 비춰 거기 있어줘서 그게 너라서 가끔 내 어깨에 가만히 기대주어서 나는 있잖아 정말 빈틈없이 행복해 너를 따라서 시간은 흐르고 멈춰 물끄러미 너를 들여다 보곤 해 그것 말고는 아무것도 할 수 없어서 너의 모든 순간 그게 나였으면 좋겠다 생각만 해도 가슴이 차올라 나는 온통 너로 보고 있으면 왠지 꿈처럼 아득한 것 몇 광년 동안 날 향해 날아온 별빛 또 지금의 너 거기 있어줘서 그게 너라서 가끔 나에게 조용하게 안겨주어서 나는 있잖아 정말 남김없이 고마워 너를 따라서 시간은 흐르고 멈춰 물끄러미 너를 들여다보곤 해 너를 보는 게 나에게는 사랑이니까 너의 모든 순간 그게 나였으면 좋겠다 생각만 해도 가슴이 차올라 나는 온통 너로 니 모든 순간 나였으면
너를 너를 너를,플라이 투 더 스카이,모든걸 주고도 한없이 모자랄 만큼 나의 목숨보다 소중한 그런 너를 너를 너를 너를 널 보내야 하는 오늘이 태어나 처음 두려워 참 바보같아 난 너와나 죽는 날까지 함께 할거라 믿었나봐 그런 너를 너를 너를 너를 널 잃곤 나 혼자서 어떡해 아무것도 해낼 자신이 없어 나의 사랑이 아직 어려서 편하게 너를 보내지 못하나봐 어린애처럼 소리쳐 울며 보채야만 내게 돌아 올수 있겠니 내 가슴속을 다 뒤집어 보여 준다면 까맣게 타 버린 내맘은 아직 너를 너를 너를 너를 널 사랑해 잡을수 있다면 남자답지 못해도 상관없어 나의 사랑이 아직 어려서 편하게 너를 보내지 못하나봐 어린애처럼 소리쳐 울며 보채야만 내게 돌아 올수 있겠니 이렇게 가슴이 무너질 듯이 울려도 갈라진 사랑을 깨물고 이제 보내줄게 나의 사랑이 아직 어려서 편하게 너를 보내지 못하나봐 어른이 돼도 자라지 못한 내 사랑은 네가 없인 단 하루도 살 수가 없어 나의 사랑이 아직 어려서 편하게 너를 보내지 못하나봐 어른이 돼도 자라지 못한 내 사랑은 네가 없인 단 하루도 살 수가 없어 나는 단 하루도 살 수가 없어
신촌을 못가,포스트맨 (POSTMEN),신촌을 못가 한번을 못가 혹시 너와 마주칠까 봐 널 보면 눈물이 터질까 봐 친구들 한잔 하자고 또 꼬시며 불러대도 난 안가 아니 죽어도 못가 자주 갔었던 좋아했었던 사거리 그 포장마차가 그립다 니가 너무 그립다 새빨개진 그 얼굴로 날 사랑한다 했었던 그곳엘 내가 어떻게 가니 오늘 그 거리가 그리워 운다 또 운다 아직 많이 보고 싶나 봐 너도 어디선가 나처럼 울까 또 울까 그런 너를 마주칠까 신촌을 못가 데려다주던 아쉬워하던 막차 버스 안에서 우리 좋았지 우리 너무 좋았지 뒷자리 창가에 앉아 호 입김 불며 그리던 니 이름 그리고 널 사랑해 그걸 어떻게 잊니 오늘 그 거리가 그리워 운다 또 운다 아직 많이 보고 싶나 봐 너도 어디선가 나처럼 울까 또 울까 그런 너를 마주칠까 신촌을 못가 우리 둘만 있어도 좋았잖아 종일 땀이 찼던 두 손 뜨겁던 입맞춤도 다 거기 있잖아 다 살아 있잖아 오늘 이 노래를 부른다 Good bye and Good bye 이젠 너를 놓아 줄까 봐 마지막으로 널 부른다 사랑해 널 사랑해 너를 만난 그 곳은 참 행복했었다
예뻐졌다 (Feat. 지코 Of Block B),박보람,나 예뻐졌대 다 그래 모두 놀래 못 알아보겠대 Oh My God 어디했어 뭐했어 모르는 소리 No 말도 안돼 No No Way 바나나 한 개 계란 두 개 정말 피곤해 남들처럼 예뻐지는게 넌 모를거야 죽었다 깨어나도 넌 머리부터 발 끝까지 너무 너무해 신경쓸게 한 둘이 아냐 나도 너처럼 사랑받길 원했어 그래서 더 독하게 예뻐졌다 매일 듣고싶었던 말 정말 한번도 듣지 못했던 말 달라 모든게 달라졌어 Doo Roo Roo Roo 예뻐졌다 니가 보는게 전부가 아냐 전에 니가알던 내가 아냐 잘가요 My Love 짧은 치마 스키니 상관없어 이젠 입을수있어 I'm Good 당당하게 남들 Oh 눈치따윈 안볼래 하루종일 난 거울만 보네 좋아 매일매일 달라진 내 모습 어제 나보다 오늘 내가 더 예뻐 주문을 또 걸어봐 예뻐졌다 매일 듣고싶었던 말 정말 한번도 듣지못했던 말 달라 모든게 달라졌어 Doo Roo Roo Roo 예뻐졌다 니가 보는게 전부가 아냐 전에 니가알던 내가 아냐 잘가요 My Love I'm Beautiful Beautiful beautiful 누구도 부럽지 않아 이젠 나를 봐줘 나를 더 사랑할래 Woo Woo Long Time No See 이게 얼마만이야 오빠가 좀 뜸했었지 목소리 아니었음 몰라 볼 뻔했어 이미 훌륭했지만 이렇게 여신이 될 줄이야 무리한 보람있네 너무 비인간적인건 아닌지 아무튼 당분간 좀 골치아프겠다 Say Holla to Your Fans 예뻐졌다 매일 듣고싶었던 말 정말 한번도 듣지 못했던 말 달라 모든게 달라졌어 Doo Roo Roo Roo 예뻐졌다 니가 보는게 전부가 아냐 전에 니가알던 내가 아냐 잘가요 My Love
Touch My Body,씨스타,Touch my body Body Touch my body Body Touch my body Body Touch my body I know you want it 넌 내 곁으로 와 내가 준비한 wine 달콤한 chocolate chocolate 좀 부드럽고 때론 뜨거워지는 너만을 위한 my pool na na na na na na 빨개진 너의 두 눈에 비친 내 모습 운전은 니가 해 그저 내 두 손은 하늘위로 Yeh baby dancing with me you're my star Touch my body 우린 조금씩 빠르게 Oh everybody 푸른 하늘 보다 높이 지금 이 리듬이 좋아 뜨거운 태양아래 너와나 My body body Touch ma body Baby so good 지금 기분은 paradise Baby so nice 우리 둘만의 summer night 조금씩 one step two step 달빛 아래 너와나 My body body Touch ma body Touch my body Body Touch my body Body Touch my body Body Touch my body 하나 둘씩 밝혀지는 니 맘 속안에 촛불 힘이 들 땐 조금 쉬었다가요 여기 red pool 내 입술이 좋아 아님 내 body가 좋아 솔직히 말해 여기 여기 여기 아님 저기 저기 저기 나밖에 없다고 지금 내게 말해줘 부끄럽게 자꾸 보지 말고 계속 날 안아줘 날 사랑한다 말해줘 Touch my body 우린 조금씩 빠르게 Oh everybody 푸른 하늘 보다 높이 지금 이 리듬이 좋아 뜨거운 태양아래 너와나 My body body Touch ma body Baby so good 지금 기분은 paradise Baby so nice 우리 둘만의 summer night 조금씩 one step two step 달빛 아래 너와나 My body body Touch ma body Touch ma body My body My body My body My body 너와 함께 있는 지금 Tonight 둘이 함께 보는 저 별들 어느 누구보다 행복해 너와 함께 있는 지금 Tonight 둘이 함께 보는 저 별들 어느 누구보다 행복해 Touch ma body
공허해,WINNER,거울 속에 내 모습은 텅 빈 것처럼 공허해 혼자 길을 걸어봐도 텅 빈 거리 너무 공허해 Da ra dat dat dat dat dat dat Baby don't worry 너란 꿈에서 깬 현실의 아침은 공허해 아침을 맞이 하면서 다시 자각해 날 깨워주는 건 네가 아닌 알람벨 빌어먹을 침대는 왜 이리 넓적해 허허벌판 같은 맘에 시린 바람만 부네 나는 빈 껍데기 너 없인 겁쟁이 주위 사람들의 동정의 눈빛이 날 죽게 만들어 No what a day 하루 시작 하기 전에 무심코 본 거울 속에 내 모습은 텅 빈 것처럼 공허해 미소가 없어 표정엔 혼자 길을 걸어봐도 텅 빈 거린 너무 공허해 내 마음처럼 조용해 Da ra dat dat dat dat dat dat Baby don't worry Da dat dat dat da ra 너란 꿈에서 깬 현실의 아침은 공허해 내 마음이 너무 공허해 끝이 났네요 나의 그대여 어디 있나요 이제 우린 추억이 됐죠 행복 했어요 날 잊지 말아요 또 다시 만나요 좋았던 날들과 슬펐던 날들 힘들었던 날들과 행복했던 날들 이젠 지나 가버린 시간 속에 추억이 되어 과거에 머물러 있는 그대와 나는 over 현실로 돌아온 것 같아 삶의 이유가 사라져 머리가 복잡해 아침에 눈을 뜨면 가슴이 텅 빈 것 같이 공허함을 느껴 너를 만나기 전과 똑같아 거울 속에 내 모습은 텅 빈 것처럼 공허해 미소가 없어 표정엔 혼자 길을 걸어봐도 텅 빈 거린 너무 공허해 내 맘처럼 조용해 Da ra dat dat dat dat dat dat Baby don't worry Da dat dat dat da ra 너란 꿈에서 깬 현실의 아침은 공허해 내 마음이 너무 공허해 끝이 났네요 나의 그대여 어디 있나요 이제 우린 추억이 됐죠 행복 했어요 날 잊지 말아요 또 다시 만나요 아직 아른거려요 눈을 감으면 점점 무뎌 지겠죠 시간이 지나면 후회하지는 않아요 좀 아쉬울 뿐이죠 보고 싶지는 않아요 그대가 그리울 뿐이죠 예전 같지 않은 내 모습이 점점 두려워 미소가 없어 표정엔 약해져만 가는 내 자신을 보기가 무서워 내 마음처럼 조용해 네가 없는 내 주위는 공기 조차 무거워 Da ra da ra ra ra ra dat 너란 꿈에서 깬 현실의 아침이 끝이 났네요 끝이 났네요 나의 그대여 어디 있나요 어디 있나요 이제 우린 추억이 됐죠 행복했어요 행복했어요 잊지 말아요 잊지 말아요 다시 만나요
노래가 늘었어,에일리(Ailee),정신이 나갔었지 너의 자상함에 너의 달콤함에 너의 거짓말에 꿈이 변했었지 유명한 가수보다 좋은 아내가 되려 했지 정말 정말 바보 같았어 정말 바보 같았어 노래가 늘었어 너와 헤어지고 나서 음악에 미쳐 살았더니 모든 노래 가사가 내 얘기 같았어 죽도록 불렀어 조금씩 조금씩 차차 눈물이 말라 갔어 눈앞이 캄캄했지 어찌나 힘든지 욕도 많이 했지 속도 다 버렸지 이젠 다 끝났어 난 너 하나를 잃고 더 큰 희망을 얻은 거야 정말 정말 잘 된 일이야 정말 잘된 일이야 노래가 늘었어 너와 헤어지고 나서 음악에 미쳐 살았더니 모든 노래 가사가 내 얘기 같았어 죽도록 불렀어 조금씩 조금씩 차차 눈물이 말라 갔어 언젠가 너에게 연락이 오겠지 그 땐 남자답게 축하해 주길 바래 니 덕분이니까 고맙다는 인사 나도 멋지게 준비 해둘게 노래가 늘었어 너와 헤어지고 나서 음악에 미쳐 살았더니 모든 노래 가사가 내 얘기 같았어 죽도록 불렀어 조금씩 조금씩 차차 눈물이 말라 갔어 차차 눈물이 말라 갔어 차차 그렇게 널 잊었어
너 사용법,에디킴,부드럽게 무드있게 따뜻하게 꼭 안아주시오 매일 한 번씩 사용하시오 부드러운 눈 마주칠 땐 미소 지어서 그녀를 웃게 hey what's up beauty 말을 거시오 그날 아침엔 먼저 일어나서 turning on jazz Gentle kiss 널 바라봐 너무 지칠 땐 소주 두 병 들고 솔직하게 그녀의 집 두드리시오 가끔 한 번씩 무작정 같이 떠나가시오 다른 하늘 다른 바람 숨 쉬게 해줘 가끔 한 번씩 무작정 키스해주시오 이유 없이 너에게 빠진 그 날처럼 잘 때는 나긋하게 조용하게 눈물 나게 말해주시오 매일 한 번씩 너무 고마워 그날 아침엔 먼저 일어나서 clean up mass Last night 썸 널 깨우고 바래다줄 땐 발걸음 천천히 나직하게 그녀에게 고백하시오 다른 여자 앞에선 이성적이지만 이상하게 너 앞에선 감정이 앞서 널 사용하기엔 너무나 아까워 마냥 바라보기엔 넌 날 미치게 해 영원히 널 사용하고 싶어 Oh my girl Oh my girl 부드럽게 무드있게 따뜻하게 꼭 안아주시오 매일 한 번씩 사용하시오 잘 때는 나긋하게 조용하게 눈물 나게 말해주시오 매일 한 번씩 너무 고마워 이 아름다운 girl 놓치지 마시오
인연,"윤민수(바이브), 신용재 (2F)",
안녕,효린,우연히 내게 다가와 감싸 안아주고 서로 멍하니 바라보다 건넨 말 안녕 꿈속에서만 스쳐갔던 지금 넌 내 앞에 사랑이 왔는데 그댄 떠난대 기다렸는데 더 볼 수가 없대 늘 바보처럼 흐르는 눈물이 말해 안녕 이젠 Good bye Hello Hello Hello Hello Hello 다시 만날 땐 내가 먼저 괜찮아 안녕 꿈에서라도 마주칠까 두 눈을 감아요 사랑이 왔는데 그댄 떠난대 기다렸는데 더 볼 수가 없대 늘 바보처럼 흐르는 눈물이 말해 안녕 이젠 Good bye 시간이 서둘러 널 내게로 데려와주길 단 한번만 말해주길 믿어지지 않는 이야기를 어디 있는지 내맘 아는지 보고 싶은데 다신 볼 수 없는 곳에 밤 하늘에 소리쳐 안녕 사랑이 왔는데 그댄 떠난대 기다렸는데 더 볼 수가 없대 늘 바보처럼 흐르는 눈물이 말해 안녕 이젠 Good bye Hello Hello Hello Hello Hello
감아 (Feat. Crush),로꼬,이제 익숙해지는 것 같아 키가 작을 때부터 해왔던 상상 마음껏 펼치고는 꿀 같은 단잠 자고 일어났어 어딜 가든 나는 항상 자신감 넘치게 행동해야 하지 아직 많이 부족하긴 해도 끝까지 이뤄낼 거야 내 꿈 너도 알지 그래도 네가 있어 난 힘이 나지 너의 하루는 어땠어 느껴져 딱 목소리에서 누가 또 네 심기에 손 댔어 맞아 전부 그 사람이 잘못했어 쓰다듬어주고 싶어 네 머리를 오늘도 고생 많이 했어 이번 주말에는 떠나자 어디든 일단 눈 감아 내 팔에 기대서 Baby 난 너만 담아 오늘은 편하게 내게 안겨도 돼 겁먹지마 이 밤이 우릴 환하게 반겨주네 눈을 감아 두 눈을 감아 허리에 팔을 감아 나만 믿고 따라와 쉬는 동안에도 주말마다 일이 생기지 가끔은 너무 정신 없어서 내 몸도 못 챙기지 내 나름대로의 욕심 때문에 압박이 머리를 조여도 다 풀어냈을 때 그 시원함이 나를 무대위로 또 올려줘 나도 오늘 일을 끝냈으니 편안하게 와서 안겨도 돼 현실이 꼬리를 물기 전에 더 이상은 아무것도 생각하지 않기로 해 괜찮아 괜찮아 우리 둘 밖에 없어 네가 하고 싶은 대로 해 준비 안된 건 없어 Baby 난 너만 담아 오늘은 편하게 내게 안겨도 돼 겁먹지마 이 밤이 우릴 환하게 반겨주네 눈을 감아 두 눈을 감아 허리에 팔을 감아 나만 믿고 따라와 미리 맞춰놨어 적당한 온도 너 때문에 오늘 아침부터 뎁혀 놔서 따듯해 내 몸도 이리 와서 누워도 돼 내 옆에 눈감고 기대봐 내 옆에 잡은 손 놓지 않아 절대 네가 눈을 떠도 어디 가지 않아 절대 걱정하지 마 우리가 만날 시간은 많아 오늘 따라 밤이 차갑지만 곁에 있어 괜찮아 편하게 눈감아 내 곁에 누워도 돼 두 손을 꼭 잡고 Ma Baby Baby 난 너만 담아 오늘은 편하게 내게 안겨도 돼 겁먹지마 이 밤이 우릴 환하게 반겨주네 눈을 감아 두 눈을 감아 허리에 팔을 감아 나만 믿고 따라와 내 노래의 모든 주제가 니 이야기가 아니지만 니가 있었기 때문에 가능한 둘의 이야기야 나 때문에 너의 하루가 더 즐거웠으면 좋겠어 난 하지 않아 절대 말로만 거짓은 하나도 안 보탰어
Darling,걸스데이,요즘 연인들은 kiss하고 시작한대 사랑을 어리숙하고 난 낯을 가리는데 사람을 내 틀 안에 갇혀 매일 가짜 같은 진짜 사랑도 I fell in love with you 표현 못했는데 사랑을 나비처럼 내 맘에 날아 앉아 벌처럼 사랑을 톡 쏘니까 달콤한 유혹에 빠져 난 call me your darling darling 나를 녹여줘 슈가 팝 my 롤리팝 소리 칠 거야 call you my darling darling 그댄 달콤해 oh 화끈해 더 뜨겁게 only you only you only you my only you 슈가 슈가 슈가 너 만이 나의 스타 사랑에 빠진 소재로 노래를 불러볼까 달아 달아 밝아 저 달도 내 맘 알까 슈가 슈가 슈가 달콤해 너무 니가 oh baby 상큼하게 톡톡 soda pop pop pop 내 목이 따끔하고 간지럽게 my my my I fell in love with you 빠져들고 싶어 니 안에 나비처럼 내 맘에 날아 앉아 벌처럼 사랑을 톡 쏘니까 달콤한 유혹에 빠져 난 call me your darling darling 나를 녹여줘 슈가 팝 my 롤리팝 소리 칠 거야 call you my darling darling 그댄 달콤해 oh 화끈해 더 뜨겁게 only you only you 별이 쏟아지는 바닷가 위에 살포시 그대 무릎에 기대 누워 잠들고 싶어 call me your darling darling 나를 녹여줘 슈가 팝 my 롤리팝 소리 칠 거야 call you my darling darling 그댄 달콤해 oh 화끈해 더 뜨겁게 only you only you only you my only you
나의 옛날이야기,아이유,쓸쓸하던 그 골목을 당신은 기억하십니까 지금도 난 기억합니다 사랑한단 말 못하고 애태우던 그날들을 당신은 알고 있었습니까 철 없었던 지난 날의 아름답던 그밤들을 아직도 난 사랑합니다 철없던 사람아 그대는 나의 모든 것을 앗으려 하나 무정한 사람아 수줍어서 말 못했나 내가 싫어 말 안했나 지금도 난 알 수 없어요 이 노래를 듣는다면 나에게로 와주오 그대여 난 기다립니다 무정한 사람아 이 밤도 나의 모든 것을 앗으려 하나 철 없던 사람아 오늘 밤도 내일 밤도 그리고 그 다음 밤도 영원히 난 기다립니다
HER,블락비 (Block B),Jesus 무슨 말이 필요해 모두 널 작품이라고 불러 Just a little bit of you 격하게 아껴 Baby ye ye Ooh Wow 놀라워 더할 나위 없이 아름다우신 그녀의 자태 보통 여잔 명함도 못 내밀고 끼리끼리 뭉쳐 네 험담을 나누겠지 잘들어 주위에 늑대 놈들 주의 자식들 하나같이 외모 지상주의 망치로 뒤통수 한대 맞은 듯이 머릿속이 띵하고 어지러워 Jesus 무슨 말이 필요해 모두 널 작품이라고 불러 Just a little bit of you 격하게 아껴 Baby ye ye 뭐 하나 빠짐없이 예쁘구나 Her 어어 Her 어어 Her 어어 Uh 어안이 벙벙해 Her 어어 Her 어어 Her 어어 너 말곤 전부 평범해 아찔하게 뻗은 곡선 난 바로 기절 I need suction 무작정 부담 주는 멍청이들 사이에 넌 빈틈없는 Boxer 나의 Olivia Hussey 능력이 있어도 허세는 없는 그 성품과 적절한 볼륨감 I wanna hug and kisses 주위에 늑대 놈들 주의 자식들 하나같이 외모 지상주의 망치로 뒤통수 한대 맞은 듯이 머릿속이 띵하고 어지러워 Jesus 무슨 말이 필요해 모두 널 작품이라고 불러 Just a little bit of you 격하게 아껴 Baby ye ye 뭐 하나 빠짐없이 예쁘구나 Her 어어 Her 어어 Her 어어 Uh 어안이 벙벙해 Her 어어 Her 어어 Her 어어 너 말곤 전부 평범해 바위처럼 무감정한 내가 이렇게 다시 바보가 된다 정신차려 보니 네 앞에 와서 Oh could you be my real love 정말 곱다 고와 누군가 다가와 말 걸면 넌 미소만 던져 줘 네 연락처는 안돼 침부터 닦고 와 물러서 Stop your talk Her uh her uh baby I’m all yours Jesus 무슨 말이 필요해 모두 널 작품이라고 불러 Just a little bit of you 격하게 아껴 Baby ye ye 뭐 하나 빠짐없이 예쁘구나 Her 어어 Her 어어 Her 어어 Uh 어안이 벙벙해 Her 어어 Her 어어 Her 어어 너 말곤 전부 평범해
까탈레나 (Catallena),오렌지 캬라멜,춤추는 작은 까탈레나 Red Sun 나도 모르게 빠져 들어가 도도한 콧대 까탈레나 Red Sun Jutti Meri Oye Hoi Hoi 홀려 들어가 어머머머 멋있어 반했어 어쩜 같은 여자끼리 봐도 참 멋있어 까칠까칠 하지만 한 번만 보고파 알고파 함께 춤 추고파 랄라랄라 흔들흔들 손 흔들고 네 목소리가 쉴 때까지 소리 질러 Jutti Meri Oye Hoi Hoi Paula Mera Oye Hoi Hoi 참 잘했어요 100점 만점 주고파 춤추는 작은 까탈레나 Red Sun 나도 모르게 빠져 들어가 도도한 콧대 까탈레나 Red Sun Jutti Meri Oye Hoi Hoi 홀려 들어가 스르르르르륵 스르르르르륵 녹 녹 녹 녹아든다 녹 녹 녹 녹아든다 파르르르르륵 파르르르르륵 떨 떨 떨 떨려온다 따라 따라 따라 하고파 시크해서 싫지만 그치만 어쩜 같은 여자끼리 봐도 매력 있어 분하지만 한 시간 두 시간 추고파 놀고파 뼈를 묻고 싶어 랄라랄라 흔들흔들 손 흔들고 네 목소리가 쉴 때까지 소리 질러 Jutti Meri Oye Hoi Hoi Paula Mera Oye Hoi Hoi 아직 부족해 좀만 더 힘을 내봐 춤추는 작은 까탈레나 Red Sun 나도 모르게 빠져 들어가 도도한 콧대 까탈레나 Red Sun Jutti Meri Oye Hoi Hoi 홀려 들어가 스쳐 가는 두 손이 따듯해 알고 보면 착할래나 까칠한 나의 까탈레나 모두 다 같이 빠져들어 가 도도한 콧대 까탈레나 Red Sun Jutti Meri Oye Hoi Hoi 홀려 들어가 스르르르르륵 스르르르르륵 녹 녹 녹 녹아든다 녹 녹 녹 녹아든다 파르르르르륵 파르르르르륵 떨 떨 떨 떨려온다 따라 따라 따라 하고파
